date,open,high,low,close,volume
2021-08-31 00:00:00+05:30,474.9,477.6,470.05,473.45,587128
2021-09-01 00:00:00+05:30,481.0,494.9,480.0,487.95,2038498
2021-09-02 00:00:00+05:30,488.1,492.85,479.65,482.0,1181102
2021-09-03 00:00:00+05:30,482.2,487.55,471.0,472.85,932043
2021-09-06 00:00:00+05:30,473.0,489.9,467.8,485.05,945691
2021-09-07 00:00:00+05:30,485.2,490.0,475.1,478.25,1358063
2021-09-08 00:00:00+05:30,478.2,489.4,475.0,485.85,1007349
2021-09-09 00:00:00+05:30,485.1,496.4,476.3,492.2,1454671
2021-09-13 00:00:00+05:30,492.2,494.05,483.85,486.3,1559154
2021-09-14 00:00:00+05:30,489.65,495.3,483.05,489.9,902511
2021-09-15 00:00:00+05:30,489.95,494.0,484.3,490.05,559284
2021-09-16 00:00:00+05:30,491.0,512.8,486.05,490.35,2156351
2021-09-17 00:00:00+05:30,490.2,496.4,480.0,486.1,1720516
2021-09-20 00:00:00+05:30,483.5,489.4,475.3,483.7,2078684
2021-09-21 00:00:00+05:30,481.8,482.55,469.1,477.75,847249
2021-09-22 00:00:00+05:30,479.4,481.5,464.0,466.65,1875886
2021-09-23 00:00:00+05:30,468.0,493.0,467.55,488.8,1843034
2021-09-24 00:00:00+05:30,488.5,488.5,476.55,478.7,873638
2021-09-27 00:00:00+05:30,481.5,481.7,467.5,473.1,1005900
2021-09-28 00:00:00+05:30,472.0,474.9,461.0,470.85,953711
2021-09-29 00:00:00+05:30,470.9,473.4,463.3,470.0,953160
2021-09-30 00:00:00+05:30,474.0,485.55,468.1,478.9,2334376
2021-10-01 00:00:00+05:30,477.4,503.0,476.15,488.8,2518392
2021-10-04 00:00:00+05:30,492.4,496.0,477.35,487.45,1113415
2021-10-05 00:00:00+05:30,485.1,488.35,481.75,486.4,663412
2021-10-06 00:00:00+05:30,487.85,495.4,473.0,477.05,1389867
2021-10-07 00:00:00+05:30,480.5,482.95,472.45,478.9,629388
2021-10-08 00:00:00+05:30,480.0,483.0,474.65,479.7,892137
2021-10-11 00:00:00+05:30,482.95,483.8,475.0,480.25,1392123
2021-10-12 00:00:00+05:30,480.1,490.0,478.9,481.5,1146022
2021-10-13 00:00:00+05:30,478.75,483.95,478.25,482.45,883507
2021-10-14 00:00:00+05:30,483.95,484.6,473.0,474.6,1073667
2021-10-18 00:00:00+05:30,476.15,477.6,470.0,473.05,1034771
2021-10-19 00:00:00+05:30,473.8,474.65,455.1,465.65,2486768
2021-10-20 00:00:00+05:30,467.8,467.8,451.05,454.2,2265457
2021-10-21 00:00:00+05:30,456.0,468.0,439.0,463.9,2499907
2021-10-22 00:00:00+05:30,465.0,473.45,450.1,468.1,1862740
2021-10-25 00:00:00+05:30,473.6,483.1,435.1,450.7,3961863
2021-10-26 00:00:00+05:30,450.1,472.0,450.0,463.9,2130926
2021-10-27 00:00:00+05:30,466.1,477.5,465.95,472.9,1938102
2021-10-28 00:00:00+05:30,476.0,485.0,460.05,465.75,3554246
2021-10-29 00:00:00+05:30,463.0,468.95,455.0,465.6,1622790
2021-11-01 00:00:00+05:30,470.6,490.0,465.0,488.05,1390000
2021-11-02 00:00:00+05:30,491.9,493.2,473.7,477.1,1989405
2021-11-03 00:00:00+05:30,477.8,480.7,465.05,467.6,876758
2021-11-04 00:00:00+05:30,468.45,476.0,468.0,473.6,76411
2021-11-08 00:00:00+05:30,474.0,479.55,464.4,467.65,621332
2021-11-09 00:00:00+05:30,467.7,470.1,456.1,461.85,2473552
